home_team,away_team,home_score,away_score,tournament,country,day,month,year,home_result,away_result,total_goals,serial,home_group,away_group,home_team_txt,away_team_txt,year_n,result,home_random,away_random,decade,home_result_desc,away_result_desc
Canada,United States,0,0,Friendly,Canada,3,6,2012,0,0,0,3501,0,0,Canada,United_States,2,0,0.65716,0.31123,12,draw,draw
Mexico,Brazil,2,0,Friendly,United States,3,6,2012,2,-2,2,3502,1,0,Mexico,Brazil,2,2,0.90627,0.71454,12,winner,loser
Qatar,South Korea,1,4,FIFA World Cup qualification,Qatar,8,6,2012,-3,3,5,3503,0,0,Qatar,South_Korea,2,3,0.52873,0.39253,12,loser,winner
Brazil,Argentina,3,4,Friendly,United States,9,6,2012,-1,1,7,3504,0,1,Brazil,Argentina,2,1,0.31146,0.92692,12,loser,winner
Germany,Portugal,1,0,UEFA Euro,Ukraine,9,6,2012,1,-1,1,3505,1,1,Germany,Portugal,2,1,0.53642,0.55858,12,winner,loser
Netherlands,Denmark,0,1,UEFA Euro,Ukraine,9,6,2012,-1,1,1,3506,1,1,Netherlands,Denmark,2,1,0.37665,0.51982,12,loser,winner
France,England,1,1,UEFA Euro,Ukraine,11,6,2012,0,0,2,3507,0,1,France,England,2,0,0.104,0.93924,12,draw,draw
Australia,Japan,1,1,FIFA World Cup qualification,Australia,12,6,2012,0,0,2,3508,0,0,Australia,Japan,2,0,0.94977,0.29748,12,draw,draw
Iran,Qatar,0,0,FIFA World Cup qualification,Iran,12,6,2012,0,0,0,3509,1,0,Iran,Qatar,2,0,0.64785,0.46317,12,draw,draw
Denmark,Portugal,2,3,UEFA Euro,Ukraine,13,6,2012,-1,1,5,3510,1,1,Denmark,Portugal,2,1,0.18955,0.398,12,loser,winner
Netherlands,Germany,1,2,UEFA Euro,Ukraine,13,6,2012,-1,1,3,3511,1,1,Netherlands,Germany,2,1,0.25199,0.37021,12,loser,winner
Denmark,Germany,1,2,UEFA Euro,Ukraine,17,6,2012,-1,1,3,3512,1,1,Denmark,Germany,2,1,0.6549,0.78005,12,loser,winner
Portugal,Netherlands,2,1,UEFA Euro,Ukraine,17,6,2012,1,-1,3,3513,1,1,Portugal,Netherlands,2,1,0.40135,0.41561,12,winner,loser
Croatia,Spain,0,1,UEFA Euro,Poland,18,6,2012,-1,1,1,3514,0,1,Croatia,Spain,2,1,0.20718,0.12482,12,loser,winner
